Title	Price	Month_Year	Kms	Fuel	Transmission
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 14.999	Novembre 2019	10.550 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 14.999	Novembre 2019	10.550 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 14.999	Novembre 2019	10.550 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 14.999	Novembre 2019	10.550 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 14.999	Novembre 2019	10.550 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 14.999	Novembre 2019	10.550 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 14.999	Novembre 2019	10.550 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 14.999	Novembre 2019	10.550 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 14.999	Novembre 2019	10.550 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 14.999	Novembre 2019	10.550 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 14.999	Novembre 2019	10.550 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 14.999	Novembre 2019	10.550 km	Benzina - Euro 6	Automatico
Fiat 500 1.2 s 69cv my14	€ 9.790	Giugno 2015	85.276 km	Benzina - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Launch Edition S8 Tetto P. M. Pelle	€ 15.490	Luglio 2021	4.801 km	Elettrico - Euro 6	Manuale
FIAT 500 1.0 Hybrid Dolcevita Clima automatico+PDC	€ 15.990	Giugno 2021	6.144 km	Ibrido - Euro 6	Manuale
Fiat 500 1.3 MJET 95CV LOUNGE - 2014 - GARANZIA RATE	€ 8.400	Marzo 2014	120.000 km	Diesel - Euro 0	Manuale
FIAT 500 500 1.0 Hybrid Connect	€ 14.950	Marzo 2021	12.390 km	Ibrido - Euro 6	Manuale
FIAT 500 1.2 Lounge navi +CarPlay +Gpl	€ 11.990	Giugno 2019	17.000 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 11.699	Aprile 2019	38.150 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 11.699	Aprile 2019	38.150 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 11.699	Aprile 2019	38.150 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 11.699	Aprile 2019	38.150 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 11.699	Aprile 2019	38.150 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 11.699	Aprile 2019	38.150 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 11.699	Aprile 2019	38.150 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 11.699	Aprile 2019	38.150 km	Benzina - Euro 6	Manuale
FIAT 500 (2015-->) 1.0 Hybrid Dolcevita	€ 15.500	Giugno 2021	13.578 km	Ibrido - Euro 0	Manuale
Fiat 500 1.2 69cv Lounge Uconnect Tetto Sensor Fendin. Cromo Cerchi	€ 11.280	Maggio 2019	27.000 km	Benzina - Euro 0	Manuale
Fiat 500 1.2 69cv Lounge Uconnect Tetto Sensor Fendin. Cromo Cerchi	€ 11.280	Maggio 2019	27.000 km	Benzina - Euro 0	Manuale
FIAT 500 1.3 Multijet 16V 95 CV Pop	€ 7.100	Luglio 2011	100.000 km	Diesel - Euro 5	Manuale
Fiat 500 1.0 70cv Hybrid Launch Edition S8 Tetto P. M. Pelle	€ 15.490	Luglio 2021	1 km	Elettrico - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Launch Edition S8 Tetto P. M. Pelle	€ 15.490	Luglio 2021	1 km	Elettrico - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Launch Edition S8 Tetto P. M. Pelle	€ 15.490	Luglio 2021	1 km	Elettrico - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Launch Edition S8 Tetto P. M. Pelle	€ 15.490	Luglio 2021	4.801 km	Elettrico - Euro 6	Manuale
Fiat 500 1.2 EasyPower Pop Star GPL Originale 67.800km uniproprietaria E5B	€ 7.990	Settembre 2013	67.800 km	GPL - Euro 5	Manuale
FIAT 500 1.2 Lounge NEOPATENTATI	€ 8.490	Gennaio 2014	72.300 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop	€ 12.990	Settembre 2019	11.081 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 14.999	Novembre 2019	10.550 km	Benzina - Euro 6	Automatico
Fiat 500 1.0 70cv Hybrid Dolcevita Tetto Carplay Pelle Clima A. Sensor Cerchi 15	€ 15.190	Giugno 2021	11.624 km	Elettrico - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Dolcevita Tetto Carplay Pelle Clima A. Sensor Cerchi 15	€ 15.190	Giugno 2021	11.624 km	Elettrico - Euro 6	Manuale
FIAT 500 1200-UNICA PROPRIETARIA-OK NEOPATENTATI-FOTO REVISIONE	€ 4.800	Novembre 2007	196.000 km	Benzina - Euro 0	Manuale
FIAT 500 1.2 Lounge/OK NEOPATENTATI/SENSORI PARCH	€ 9.490	Giugno 2015	46.530 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge/OK NEOPATENTATI/SENSORI PARCH	€ 9.490	Giugno 2015	46.530 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge/OK NEOPATENTATI/SENSORI PARCH	€ 9.490	Giugno 2015	46.530 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 69cv Pop Star Uconnect Speed Limiter	€ 10.880	Marzo 2019	41.992 km	Benzina - Euro 6	Manuale
FIAT 500 Action Berlina, PRONTA CONSEGNA	€ 22.900	Maggio 2021	4.000 km	Elettrico - Euro 6	Automatico
FIAT 500 1.2 EasyPower Lounge	€ 9.800	Giugno 2016	80.000 km	GPL - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Star S8	€ 15.490	Luglio 2021	16.591 km	Elettrico - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Star S8	€ 15.490	Luglio 2021	16.591 km	Elettrico - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Star S8	€ 15.490	Luglio 2021	8.991 km	Elettrico - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Star S8	€ 15.490	Luglio 2021	8.991 km	Elettrico - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Star S8	€ 15.490	Luglio 2021	8.991 km	Elettrico - Euro 6	Manuale
Fiat 500 1.2 69cv Lounge Navi 7 Speed Limiter Clima A. Sensor Fendin. Cerchi 15	€ 11.380	Giugno 2019	65.880 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 69cv Lounge Navi 7 Speed Limiter Clima A. Sensor Fendin. Cerchi 15	€ 11.380	Giugno 2019	65.880 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 69cv Lounge Navi 7 Speed Limiter Clima A. Sensor Fendin. Cerchi 15	€ 11.380	Giugno 2019	65.880 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 69cv Lounge Navi 7 Speed Limiter Clima A. Sensor Fendin. Cerchi 15	€ 11.380	Giugno 2019	65.880 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 69cv Lounge Navi 7 Speed Limiter Clima A. Sensor Fendin. Cerchi 15	€ 11.380	Giugno 2019	65.880 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 69cv Lounge Navi 7 Speed Limiter Clima A. Sensor Fendin. Cerchi 15	€ 11.380	Giugno 2019	65.880 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop	€ 12.900	Giugno 2019	64.100 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop	€ 12.900	Giugno 2019	64.100 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop	€ 12.900	Giugno 2019	64.100 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.999	Marzo 2019	35.610 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.999	Marzo 2019	35.610 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.999	Marzo 2019	35.610 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.999	Marzo 2019	35.610 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.999	Marzo 2019	35.610 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.999	Marzo 2019	35.610 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.999	Marzo 2019	35.610 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.999	Marzo 2019	35.610 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.999	Marzo 2019	35.610 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.999	Marzo 2019	35.610 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.999	Marzo 2019	35.610 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.999	Marzo 2019	35.610 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.999	Marzo 2019	35.610 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.999	Marzo 2019	35.610 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.999	Marzo 2019	35.610 km	Benzina - Euro 6	Manuale
FIAT 500 1.0 70CV HYBRID LOUNGE APP CONNECT NAVIGAZIONE	€ 13.800	Novembre 2020	18.900 km	Ibrido - Euro 6	Manuale
FIAT 500 500 1.0 Hybrid Star	€ 14.990	Maggio 2021	6.400 km	Ibrido - Euro 6	Manuale
FIAT 500 1.2 Pop	€ 11.900	Dicembre 2017	5.150 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 +GPL pronta consegna ?italiana?	€ 12.290	Settembre 2019	19.000 km	GPL - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Star S8 Tetto P. Carplay Pelle Sensor Cerchi 16	€ 14.480	Ottobre 2020	13.978 km	Elettrico - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Star S8 Tetto P. Carplay Pelle Sensor Cerchi 16	€ 14.480	Ottobre 2020	13.978 km	Elettrico - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Star S8 Tetto P. Carplay Pelle Sensor Cerchi 16	€ 14.480	Ottobre 2020	13.978 km	Elettrico - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Star S8 Tetto P. Carplay Pelle Sensor Cerchi 16	€ 14.480	Ottobre 2020	16.825 km	Elettrico - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Star S8 Tetto P. Carplay Pelle Sensor Cerchi 16	€ 14.480	Ottobre 2020	13.978 km	Elettrico - Euro 6	Manuale
Fiat 500 1.2 Lounge Tetto	€ 6.700	Ottobre 2012	150.000 km	Benzina - Euro 5	Manuale
FIAT 500 1.2 Lounge navi +CarPlay +Gpl	€ 12.490	Agosto 2018	39.000 km	GPL - Euro 6	Manuale
FIAT 500 1.2 Lounge navi +CarPlay +Gpl	€ 12.490	Agosto 2018	39.000 km	GPL - Euro 6	Manuale
FIAT 500 1.2 Lounge	€ 5.490	Novembre 2008	150.000 km	Benzina - Euro 4	Manuale
FIAT 500 1.2 Pop + PACK LOUNGE SUPER PROMO	€ 11.900	Aprile 2019	24.600 km	Benzina - Euro 6	Manuale
FIAT 500 1.0 Hybrid Cult	€ 14.490	Giugno 2021	6.500 km	Ibrido - Euro 6	Manuale
Fiat 500 1.2 69cv Pop Star Uconnect Speed Limiter	€ 10.880	Marzo 2019	41.992 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 69cv Pop Star Uconnect Speed Limiter	€ 10.880	Marzo 2019	41.992 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 69cv Pop Star Uconnect Speed Limiter	€ 10.880	Marzo 2019	40.111 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 69cv Pop Star Uconnect Speed Limiter	€ 10.880	Marzo 2019	41.992 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 69cv Pop Star Uconnect Speed Limiter	€ 10.880	Marzo 2019	41.992 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 69cv Pop Star Uconnect Speed Limiter	€ 10.880	Marzo 2019	40.111 km	Benzina - Euro 6	Manuale
FIAT 500 1.0 Hybrid Dolcevita	€ 15.500	Giugno 2021	10.499 km	Ibrido - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Dolcevita Tetto Carplay Pelle Clima A. Sensor Cerchi 16	€ 15.240	Giugno 2021	20.410 km	Elettrico - Euro 6	Manuale
Fiat 500 Pop 1.2 69 Cvac Classic	€ 14.000	Agosto 2019	7.600 km	Benzina - Euro 6	Manuale
Fiat 500 1.0 hybrid connect 70cv	€ 15.590	Maggio 2021	14.031 km	Altro - Euro 6	Manuale
Fiat 500 1.0 hybrid connect 70cv	€ 15.590	Maggio 2021	14.031 km	Altro - Euro 6	Manuale
Fiat 500 1.0 hybrid connect 70cv	€ 15.590	Maggio 2021	14.031 km	Altro - Euro 6	Manuale
FIAT 500C 1.2 Lounge	€ 13.500	Aprile 2019	25.000 km	Benzina - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge/OK NEOPATENTATI/SENS PARCH POST	€ 13.750	Dicembre 2020	12.150 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge/OK NEOPATENTATI/SENS PARCH POST	€ 13.750	Dicembre 2020	12.150 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge/OK NEOPATENTATI/SENS PARCH POST	€ 13.750	Dicembre 2020	12.150 km	Ibrido - Euro 6	Manuale
FIAT 500C 1.2 Lounge	€ 14.950	Novembre 2017	42.700 km	Benzina - Euro 6	Automatico
FIAT 500 500 1.2 EasyPower Lounge	€ 6.950	Maggio 2013	155.000 km	GPL - Euro 0	Manuale
FIAT 500 1.2 Lounge Plus	€ 10.400	Marzo 2018	56.442 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop Pack Lounge	€ 9.490	Settembre 2018	42.865 km	Benzina - Euro 6	Manuale
FIAT 500 500 1.2 Lounge PER NEOP ATENTATO	€ 6.700	Marzo 2011	119.000 km	Benzina - Euro 5	Manuale
FIAT 500 1.0 Hybrid Lounge	€ 13.900	Novembre 2020	12.200 km	Ibrido - Euro 6	Manuale
Fiat 500 1.2 Lounge CAMBIO AUTOMATICO	€ 12.600	Maggio 2017	81.500 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Pop	€ 12.990	Maggio 2019	11.993 km	Benzina - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Dolcevita Tetto Carplay Pelle Sensor Clima Cerchi 16 Bicolor	€ 15.080	Giugno 2021	15.975 km	Elettrico - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Dolcevita Tetto Carplay Pelle Sensor Clima Cerchi 16 Bicolor	€ 15.080	Giugno 2021	15.975 km	Elettrico - Euro 6	Manuale
FIAT 500 1.2 Lounge	€ 6.500	Aprile 2009	105.000 km	Benzina - Euro 5	Manuale
FIAT 500 1.2 Lounge	€ 6.800	Febbraio 2013	118.844 km	Benzina - Euro 0	Manuale
Fiat 500 1.0 Hybrid Lounge	€ 13.500	Febbraio 2020	26.800 km	Ibrido - Euro 6	Manuale
FIAT 500 500 1.2 Pop Star	€ 7.990	Gennaio 2014	78.903 km	Benzina - Euro 5	Manuale
FIAT 500 1.0 70CV HYBRID LOUNGE	€ 13.890	Novembre 2020	18.000 km	Ibrido - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Dolcevita Tetto Carplay Pelle Clima A. Cerchi 16	€ 15.240	Giugno 2021	27.134 km	Elettrico - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Dolcevita Tetto Carplay Pelle Clima A. Cerchi 16	€ 15.240	Giugno 2021	27.892 km	Elettrico - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Dolcevita Tetto Carplay Pelle Clima A. Cerchi 16	€ 15.240	Giugno 2021	25.243 km	Elettrico - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Dolcevita Tetto Carplay Pelle Clima A. Cerchi 16	€ 15.240	Giugno 2021	27.892 km	Elettrico - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Launch Edition S8 Tetto P. M. Pelle	€ 15.490	Luglio 2021	8.009 km	Elettrico - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Launch Edition S8 Tetto P. M. Pelle	€ 15.490	Luglio 2021	6.559 km	Elettrico - Euro 6	Manuale
Fiat 500 1.2 Lounge	€ 12.950	Dicembre 2019	31.607 km	Benzina - Euro 0	Manuale
Fiat 500 1.2 69cv Pop Star Uconnect Speed Limiter	€ 10.880	Marzo 2019	44.402 km	Benzina - Euro 0	Manuale
Fiat 500 1.2 69cv Pop Star Uconnect Speed Limiter	€ 10.880	Marzo 2019	44.402 km	Benzina - Euro 0	Manuale
Fiat 500 1.2 69cv Pop Star Uconnect Speed Limiter	€ 10.880	Marzo 2019	44.402 km	Benzina - Euro 0	Manuale
Fiat 500 1.2 69cv Pop Star Uconnect Speed Limiter	€ 10.880	Marzo 2019	44.402 km	Benzina - Euro 0	Manuale
Fiat 500 1.2 69cv Pop Star Uconnect Speed Limiter	€ 10.880	Marzo 2019	44.402 km	Benzina - Euro 0	Manuale
Fiat 500 1.2 69cv Pop Star Uconnect Speed Limiter	€ 10.880	Marzo 2019	44.402 km	Benzina - Euro 0	Manuale
Fiat 500 1.2 69cv Pop Star Uconnect Speed Limiter	€ 10.880	Marzo 2019	44.402 km	Benzina - Euro 0	Manuale
FIAT 500 1.2 Lounge CarPlay +Gpl	€ 12.890	Settembre 2019	15.000 km	GPL - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Dolcevita Tetto Carplay Pelle Clima A. Sensor Cerchi 16	€ 15.240	Giugno 2021	23.337 km	Elettrico - Euro 6	Manuale
FIAT 500 1.2 69cv Pop Star BT ESP EU6	€ 10.900	Settembre 2018	27.000 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 69cv Pop Star EU6	€ 10.900	Settembre 2018	27.000 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 SPORT neo-patentati TAGLIANDATA	€ 5.900	Luglio 2009	139.000 km	Benzina - Euro 5	Manuale
--VENDUTA--FIAT 500 500 1.2 Lounge	€ 6.950	Gennaio 2012	78.500 km	Benzina - Euro 5	Manuale
"FIAT 500 1.0 Hybrid Lounge + Car Play ""SUPER PROMO"""	€ 13.900	Febbraio 2020	23.012 km	Ibrido - Euro 6	Manuale
FIAT 500 1.2 Pop	€ 12.500	Giugno 2019	55.200 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop	€ 12.500	Giugno 2019	55.200 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop	€ 12.500	Giugno 2019	55.200 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop	€ 12.990	Maggio 2019	7.404 km	Benzina - Euro 6	Manuale
FIAT 500 500 1.2 EasyPower Pop Star	€ 7.300	Febbraio 2013	81.128 km	GPL - Euro 0	Manuale
FIAT 500 1.2 Pop	€ 10.200	Luglio 2017	34.000 km	Benzina - Euro 6	Manuale
FIAT 500 500 1.2 Dualogic	€ 7.900	Ottobre 2013	102.444 km	Benzina - Euro 6	Automatico
Fiat 500 1.2 Sport TETTO APRIBILE/ *NO FINANZIAMENTO*	€ 12.890	Maggio 2019	34.000 km	Benzina - Euro 6	Manuale
FIAT 500 Hybrid 1.0 70cv Lounge EU6	€ 13.900	Febbraio 2021	21.700 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 69 Cv Lounge+ Sens. Post+Fendi+Comfort Pack+	€ 12.790	Aprile 2019	18.300 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop	€ 9.850	Dicembre 2016	68.100 km	Benzina - Euro 6	Manuale
Fiat 500 S 0.9 TwinAir Turbo 105cv 37.800km!!! uniproprietario E6B	€ 12.500	Marzo 2017	37.800 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 69CV Lounge , AZIENDALE	€ 14.480	Dicembre 2019	11.755 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 69CV Lounge , AZIENDALE	€ 14.480	Dicembre 2019	11.755 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 69CV Lounge , AZIENDALE	€ 14.480	Dicembre 2019	11.755 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop	€ 12.400	Giugno 2019	56.850 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop	€ 12.400	Giugno 2019	56.850 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop	€ 12.400	Giugno 2019	56.850 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop	€ 12.500	Giugno 2019	53.650 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop	€ 12.500	Giugno 2019	53.650 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop	€ 12.500	Giugno 2019	53.650 km	Benzina - Euro 6	Manuale
FIAT 500 500 1.2 Lounge	€ 10.790	Maggio 2018	75.604 km	Benzina - Euro 5	Manuale
FIAT 500 1.2 69CV Lounge TETTO PELLE CERCHI 16	€ 5.900	Novembre 2009	111.650 km	Benzina - Euro 5	Manuale
Fiat 500 1.0 70cv Hybrid Star S8 Tetto P. Carplay Pelle Sensor Cerchi 16	€ 14.480	Ottobre 2020	16.825 km	Elettrico - Euro 6	Manuale
FIAT 500 0.9 TwinAir Turbo 85 CV Lounge+Gpl	€ 12.490	Settembre 2019	29.000 km	Benzina - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Sport Connect Clima A. Carplay Sensor Cerchi 15 Black	€ 14.990	Maggio 2021	11.621 km	Elettrico - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Sport Connect Clima A. Carplay Sensor Cerchi 15 Black	€ 14.990	Maggio 2021	11.621 km	Elettrico - Euro 6	Manuale
FIAT 500 (2015) 1.0 Hybrid Lounge	€ 15.900	Febbraio 2021	7.000 km	Ibrido - Euro 6	Manuale
Fiat 500 1.0 hybrid sport 70cv Tetto / App Connect	€ 15.590	Maggio 2021	8.870 km	Altro - Euro 6	Manuale
Fiat 500 1.0 hybrid sport 70cv Tetto / App Connect	€ 15.590	Maggio 2021	8.870 km	Altro - Euro 6	Manuale
Fiat 500 1.0 hybrid sport 70cv Tetto / App Connect	€ 15.590	Maggio 2021	8.870 km	Altro - Euro 6	Manuale
FIAT 500e Icon Berlina #118CV autonomia fino a 320km	€ 24.900	Novembre 2021	3.900 km	Elettrico - Euro 0	Automatico
FIAT 500e Icon Berlina #118CV autonomia fino a 320km	€ 24.900	Novembre 2021	3.900 km	Elettrico - Euro 0	Automatico
FIAT 500 1.3 Multijet 16V 95 CV Lounge	€ 6.590	Luglio 2012	152.000 km	Diesel - Euro 5	Manuale
FIAT 500 1.2 69cv Pop Star BT ESP EU6	€ 10.900	Settembre 2018	27.100 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 9.949	Gennaio 2016	46.470 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 9.949	Gennaio 2016	46.470 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 9.949	Gennaio 2016	46.470 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 9.949	Gennaio 2016	46.470 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 9.949	Gennaio 2016	46.470 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 9.949	Gennaio 2016	46.470 km	Benzina - Euro 6	Manuale
FIAT 500 1.0 Hybrid SPORT 70cv Car Play	€ 14.800	Aprile 2021	11.000 km	Ibrido - Euro 6	Manuale
FIAT 500 Icon Berlina	€ 24.900	Marzo 2021	13.013 km	Elettrico - Euro 6	Automatico
FIAT 500 1.2 EasyPower Lounge	€ 8.700	Febbraio 2015	106.000 km	GPL - Euro 6	Manuale
Fiat 500 1.2 Lounge	€ 12.950	Dicembre 2019	35.600 km	Benzina - Euro 0	Manuale
Fiat 500 1.0 70cv Hybrid Rockstar S8	€ 14.990	Luglio 2021	10.398 km	Elettrico - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Rockstar S8	€ 14.990	Luglio 2021	10.398 km	Elettrico - Euro 6	Manuale
FIAT 500 1.0 Hybrid Cult	€ 14.490	Giugno 2021	8.234 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge	€ 15.900	Febbraio 2021	8.723 km	Ibrido - Euro 0	Manuale
FIAT 500C 1.2 Pop Star	€ 9.400	Maggio 2014	67.400 km	Benzina - Euro 6	Manuale
FIAT 500 HYBRID Lounge +CarPlay	€ 13.990	Novembre 2020	19.000 km	Ibrido - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Dolcevita Tetto Carplay Pelle Clima A. Cerchi 16	€ 15.240	Giugno 2021	22.868 km	Elettrico - Euro 6	Manuale
Fiat 500 1.0 70cv Hybrid Dolcevita Tetto Carplay Pelle Clima A. Cerchi 16	€ 15.240	Giugno 2021	14.805 km	Elettrico - Euro 6	Manuale
FIAT 500 1.2 Pop NEOPATENTATI	€ 6.000	Maggio 2008	115.000 km	Benzina - Euro 4	Manuale
FIAT 500 1.2 69cv Pop Star BT ESP EU6	€ 10.900	Settembre 2018	28.200 km	Benzina - Euro 6	Manuale
FIAT 500 1.0 Hybrid Dolcevita - CONSEGNA A CASA	€ 14.999	Settembre 2021	1.220 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Dolcevita - CONSEGNA A CASA	€ 14.999	Settembre 2021	1.220 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Dolcevita - CONSEGNA A CASA	€ 14.999	Settembre 2021	1.220 km	Ibrido - Euro 6	Manuale
FIAT 500 1.2 Pop PER NEOPATENTATI	€ 11.800	Settembre 2019	11.790 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 Benzina Lounge 2018 Usato	€ 10.900	Settembre 2018	37.215 km	Benzina - Euro 0	Manuale
FIAT 500 1.2 69cv Pop Star BT ESP EU6	€ 10.900	Settembre 2018	25.600 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge POSSIBILE GPL NUOVO ? 650	€ 5.800	Dicembre 2010	138.000 km	Benzina - Euro 5	Manuale
FIAT 500 1.2 Lounge Plus	€ 10.300	Luglio 2018	55.708 km	Benzina - Euro 6	Manuale
